run_date,fetched_at,category,sub_category,listing_id,title,address,price_text,price_yen,area_sqm,area_tsubo,unit_price_per_sqm,unit_price_per_tsubo,detail_text,detail_url
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100481369743,東急目黒線 奥沢駅 4階建 築4年,東京都世田谷区奥沢2,15.6万,156000.0,,,,,3階 | 15.6万円 15.6万円 | 1LDK 31.7m 2,https://suumo.jp/chintai/jnc_000104614775/?bc=100481369743
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100437125648,東急目黒線 奥沢駅 4階建 築4年,東京都世田谷区奥沢2,15.9万,159000.0,,,,,3階 | 15.9万円 15.9万円 | 1LDK 31.7m 2,https://suumo.jp/chintai/jnc_000103844088/?bc=100437125648
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487203796,chateau de bliss,東京都世田谷区奥沢2,14.9万,149000.0,,,,,1階 | 14.9万円 14.9万円 | 1LDK 31.7m 2,https://suumo.jp/chintai/jnc_000104655590/?bc=100487203796
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487498505,chateau de bliss,東京都世田谷区奥沢2,14.9万,149000.0,,,,,1階 | 14.9万円 14.9万円 | 1LDK 31.7m 2,https://suumo.jp/chintai/jnc_000104699813/?bc=100487498505
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100473296369,レピドール奥沢,東京都世田谷区東玉川1,14.5万,145000.0,,,,,4階 | 14.5万円 14.5万円 | 1LDK 34.04m 2,https://suumo.jp/chintai/jnc_000102900988/?bc=100473296369
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100480401568,レピドール奥沢,東京都世田谷区東玉川1,19.1万,191000.0,,,,,2階 | 19.1万円 19.1万円 | 2LDK 47.02m 2,https://suumo.jp/chintai/jnc_000103771298/?bc=100480401568
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100454444703,奥沢センターマンション,東京都世田谷区奥沢3,23.9万,239000.0,,,,,7階 | 23.9万円 23.9万円 | 2LDK 74.12m 2,https://suumo.jp/chintai/jnc_000100807109/?bc=100454444703
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100466617507,マコト・パレス,東京都世田谷区奥沢1,9万,90000.0,,,,,5階 | 4.5万円 9万円 | 2DK 30m 2,https://suumo.jp/chintai/jnc_000096696495/?bc=100466617507
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100486841825,東急目黒線 奥沢駅 5階建 築23年,東京都世田谷区奥沢3,8.5万,85000.0,,,,,1階 | 8.5万円 8.5万円 | 1K 22.64m 2,https://suumo.jp/chintai/jnc_000104590683/?bc=100486841825
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487262304,ベルデ自由が丘,東京都世田谷区奥沢5,7.5万,75000.0,,,,,1階 | 7.5万円 - | ワンルーム 22m 2,https://suumo.jp/chintai/jnc_000104699814/?bc=100487262304
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487547740,東急目黒線 奥沢駅 2階建 築46年,東京都世田谷区奥沢2,7.4万,74000.0,,,,,2階 | 7.4万円 7.4万円 | 1DK 28m 2,https://suumo.jp/chintai/jnc_000102361342/?bc=100487547740
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100343987311,フィオレンテ田園調布,東京都世田谷区玉川田園調布2,31.8万,318000.0,,,,,1階 | 31.8万円 31.8万円 | 3LDK 87.1m 2,https://suumo.jp/chintai/jnc_000102572772/?bc=100343987311
